STATE,NPA,NXX,RATE CENTER ABBREVIATION,NOTES
AZ,520,491,FLAGSTAFF,
AZ,520,831,PRESCOTT,
AZ,520,921,SEDONA,
AZ,520,238,YUMA,
CA,209,212,FRESNO,
CA,209,218,FRESNO,
CA,209,220,FRESNO,
CA,209,240,FRESNO,
CA,209,246,FRESNO,
CA,209,363,FRESNO,
CA,209,731,FRESNO,
CA,209,861,FRESNO,
CA,209,873,FRESNO,
CA,209,902,FRESNO,
CA,209,903,FRESNO,
CA,209,907,FRESNO,
CA,209,908,FRESNO,
CA,209,909,FRESNO,
CA,209,967,FRESNO,
CA,209,974,FRESNO,
CA,209,977,FRESNO,
CA,209,978,FRESNO,
CA,209,999,FRESNO,
CA,213,208,CMTN GRDN,
CA,213,324,CMTN GRDN,
CA,213,366,CMTN GRDN,
CA,213,445,CMTN GRDN,
CA,213,591,CMTN GRDN,
CA,213,710,CMTN GRDN,
CA,310,629,LAKEWOOD,
CA,310,932,LAKEWOOD,
CA,408,804,HOLLISTER,
CA,408,319,SALINAS,
CA,408,405,SALINAS,
CA,408,587,SALINAS,
CA,408,602,SALINAS,
CA,408,651,SALINAS,
CA,408,670,SALINAS,
CA,408,671,SALINAS,
CA,408,672,SALINAS,
CA,408,803,SALINAS,
CA,408,810,SALINAS,
CA,408,812,SALINAS,
CA,408,968,SALINAS,
CA,530,766,SCRM MAIN,
CA,562,260,CMTN GRDN,
CA,562,300,CMTN GRDN,
CA,562,301,CMTN GRDN,
CA,562,397,CMTN GRDN,
CA,562,715,CMTN GRDN,
CA,562,761,CMTN GRDN,
CA,562,773,CMTN GRDN,
CA,562,818,CMTN GRDN,
CA,562,857,CMTN GRDN,
CA,562,858,CMTN GRDN,
CA,562,882,CMTN GRDN,
CA,562,883,CMTN GRDN,
CA,562,895,CMTN GRDN,
CA,562,897,CMTN GRDN,
CA,562,899,CMTN GRDN,
CA,714,608,CAPITRNVLY,
CA,714,915,LAGUNA BCH,
CA,760,612,SNDG SNDG,
CA,805,508,BKFD MAIN,
CA,805,828,BKFD MAIN,
CA,805,829,BKFD MAIN,
CA,805,838,BKFD MAIN,
CA,805,839,BKFD MAIN,
CA,805,841,BKFD MAIN,
CA,805,848,BKFD MAIN,
CA,805,860,BKFD MAIN,
CA,818,218,LSAN DA 01,
CA,818,283,LSAN DA 01,
CA,818,490,LSAN DA 01,
CA,818,613,LSAN DA 01,
CA,818,692,LSAN DA 01,
CA,818,693,LSAN DA 01,
CA,818,694,LSAN DA 01,
CA,909,819,ARLINGTON,
CA,909,502,CORONA,
CA,909,221,HEMT HEMT,
CA,909,209,RIVERSIDE,
CA,909,290,RIVERSIDE,
CA,909,339,RIVERSIDE,
CA,909,540,RIVERSIDE,
CA,909,812,RIVERSIDE,
CA,909,298,TEMECULA,
CA,909,668,TEMECULA,
CA,909,691,WOODCREST,
CA,916,998,CHICO,
CA,951,431,COLTON,
FL,813,200,TAMPA,"Green highlight - The TAMPA rate center in NPAs 813 and 941 no longer exists.   Central office codes can be requested under the TAMPACEN, TAMPAEST, TAMPANTH, TAMPASTH, or TAMPAWST rate centers (FL PSC Order No. PSC-01-2113-FOF-TP)."
FL,813,201,TAMPA,
FL,813,205,TAMPA,
FL,813,206,TAMPA,
FL,813,208,TAMPA,
FL,813,210,TAMPA,
FL,813,212,TAMPA,
FL,813,214,TAMPA,
